name,calories,proteins,fat,carbohydrate
Jagung kuning pipil rebus,154,3.8,3.5,28.4
Jagung Kuning segar,140,4.7,1.3,33.1
Jagung kuning tepung,355,9.2,3.9,73.7
Jagung muda,35,2.2,0.1,7.4
Jagung muda kuning mentah,147,5.1,0.7,31.5
Jagung muda rebus,142,5,0.7,30.3
Jagung pipil var. harapan kering,367,6.2,5.1,76.2
Jagung pipil var. metro kering,368,5.5,4.6,78
Jagung Putih giling,361,8.7,4.5,72.4
Jagung Putih muda,129,4.1,1.3,30.3
Jagung Putih pipil baru,307,7.9,3.4,63.6
Jagung Putih pipil lama,355,9.2,3.9,73.7
Jagung Putih segar,140,4.7,1.3,33.1
Jagung Rebus ,175,1.8,1.8,35
Jagung Sayur (tumis) ,148.9,10.4,10.4,20.1
Jagung titi,374,9.4,2.2,79.1
Jahe,51,1.5,1,10.1
Jali,289,11,4,61
Jam selai,239,0.5,0.6,64.5
Jambal goreng,286,48.5,9.2,2.3
Jambu Air,46,0.6,0,11.8
Jambu Biji,49,0.9,0.3,12.2
Jambu biji putih tidak berbiji,61,0.9,0.3,15.4
Jambu Bol,56,0.6,0.3,14.2
Jambu Monyet buah,64,0.7,0.6,15.8
Jampang huma mentah,350,6.2,1.4,78.2
Jamur Coklat (kulat siau),45,2.5,3.9,0
Jamur encik,296,9.4,1.1,62
Jamur kuping kering,294,16,0.9,64.6
Jamur kuping segar,21,3.8,0.6,0.9
Jamur merang segar,30,3.5,0.2,4
Jamur Putih (kulat putih),48,2.8,4.1,2.9
Jamur sagu,48,1.9,3.2,2.8
Jamur tiram segar,30,1.9,0.1,5.5
Jangang bintatoeng masakan,107,5.3,2.2,16.5
Jantung Pisang segar,31,1.2,0.3,7.1
Japilus,500,1.2,25.1,67.3
Jaruk Tigarun,48,2.5,4.2,0
Jawawut,334,9.7,3.5,73.4
Jenang ,381.7,9.5,9.5,65.8
Jengkol segar,192,5.4,0.3,40.7
Jeruk Bali,48,0.6,0.2,12.4
Jeruk banjar segar,61,0.8,0.2,14.1
Jeruk Garut,44,0.8,0.3,10.9
Jeruk Kalamansi segar,39,0.3,0.3,8.9
Jeruk Manis,45,0.9,0.2,11.2
Jeruk Nipis,37,0.8,0.1,12.3
Jeruk ragi segar,49,0.7,0.2,11.1
Jotang,32,1.9,0.3,7.1
Jukku pallu kaloa masakan,15,15.2,4.3,8.8
Kabau segar,130,6.7,0.3,25.2
Kaburan ubi segar,133,1,0.2,32.2
Kabuto,250,2.6,2.5,35.4
Kacang Andong,356,20.5,4.1,61.6
Kacang Arab,330,23.8,1.4,60.2
Kacang atom,533,27.8,38.1,28.8
Kacang babi kering,341,30.4,3.2,51.3
Kacang belimbing (kecipir) kering,400,34.4,16.9,34.1
Kacang Belimbing rebus,204,16.9,8.8,17.5
Kacang Belimbing tempe,212,17.5,10,12.9
Kacang beracun segar,118,4.4,1.5,21.6
Kacang Bogor goreng,479,12.7,23.2,58.9
Kacang bogor kering,370,16,6,65
Kacang Bogor rebus,161,7.7,2.8,27.1
Kacang bogor segar,165,7.7,3.1,27.4
Kacang Endel biji,331,25,1,58
Kacang ercis segar,129,12.4,0.7,18.3
kacang galing segar,336,23.1,1.7,59.5
Kacang goyang,516,14.7,31.1,44.4
Kacang Gude biji,336,20.7,1.4,62
Kacang gude biji kering,316,20.7,1,58
Kacang Gude biji muda,114,7,0.6,20.8
Kacang Gude muda,123,8.4,0.6,1.8
